Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Jamaal Williams,271.3,24,14,2,107,460,1,23,45,4.3,32.9,7.6,45,39,253,6.5,5,16,17,2.8,18.1,0.867,5.6,146,4.9,713,6,0
Jamaal Williams,269.4,25,14,3,119,505,2,29,25,4.2,36.1,8.5,35,31,236,7.6,1,11,29,2.2,16.9,0.886,6.7,150,4.9,741,3,0
Jamaal Williams,449.7,26,13,11,153,601,3,42,20,3.9,46.2,11.8,28,26,157,6,0,6,15,2,12.1,0.929,5.6,179,4.2,758,3,1
Mike Evans,451.8,21,15,15,0,0,0,0,0,0,0,0,122,68,1051,15.5,12,46,56,4.5,70.1,0.557,8.6,68,15.5,1051,12,0
Mike Evans,564.3,22,15,14,0,0,0,0,0,0,0,0,148,74,1206,16.3,3,63,68,4.9,80.4,0.5,8.1,74,16.3,1206,3,1
Mike Evans,399.3,23,16,16,0,0,0,0,0,0,0,0,173,96,1321,13.8,12,82,45,6,82.6,0.555,7.6,96,13.8,1321,12,0
Mike Evans,587.2,24,15,15,0,0,0,0,0,0,0,0,136,71,1001,14.1,5,55,42,4.7,66.7,0.522,7.4,71,14.1,1001,5,1
Mike Evans,462.1,25,16,16,0,0,0,0,0,0,0,0,138,86,1524,17.7,8,68,72,5.4,95.3,0.623,11,86,17.7,1524,8,2
Mike Evans,449.8,26,13,13,0,0,0,0,0,0,0,0,118,67,1157,17.3,8,54,67,5.2,89,0.568,9.8,67,17.3,1157,8,0
Mike Evans,471.5,27,16,16,0,0,0,0,0,0,0,0,109,70,1006,14.4,13,55,50,4.4,62.9,0.642,9.2,70,14.4,1006,13,0
Mike Evans,450.2,28,16,16,1,10,0,1,10,10,0.6,0.1,114,74,1035,14,14,56,46,4.6,64.7,0.649,9.1,75,13.9,1045,14,0
Christian Kirk,326.6,22,12,7,3,35,0,2,23,11.7,2.9,0.3,68,43,590,13.7,3,21,75,3.6,49.2,0.632,8.7,46,13.6,625,3,0
Christian Kirk,269.2,23,13,13,10,93,0,4,28,9.3,7.2,0.8,108,68,709,10.4,3,31,69,5.2,54.5,0.63,6.6,78,10.3,802,3,0
Christian Kirk,404.9,24,14,10,2,3,0,1,3,1.5,0.2,0.1,79,48,621,12.9,6,30,80,3.4,44.4,0.608,7.9,50,12.5,624,6,1
Christian Kirk,465.7,25,17,11,1,11,0,1,11,11,0.6,0.1,103,77,982,12.8,5,44,50,4.5,57.8,0.748,9.5,78,12.7,993,5,0
David Montgomery,564.4,22,16,8,242,889,6,50,55,3.7,55.6,15.1,35,25,185,7.4,1,7,30,1.6,11.6,0.714,5.3,267,4,1074,7,2
David Montgomery,427,23,15,14,247,1070,8,59,80,4.3,71.3,16.5,68,54,438,8.1,2,25,28,3.6,29.2,0.794,6.4,301,5,1508,10,1
David Montgomery,401.1,24,13,13,225,849,7,55,41,3.8,65.3,17.3,51,42,301,7.2,0,18,16,3.2,23.2,0.824,5.9,267,4.3,1150,7,1
Devin Singletary,334.8,22,12,8,151,775,2,37,38,5.1,64.6,12.6,41,29,194,6.7,2,5,49,2.4,16.2,0.707,4.7,180,5.4,969,4,4
Devin Singletary,407.4,23,16,16,156,687,2,40,51,4.4,42.9,9.8,50,38,269,7.1,0,8,34,2.4,16.8,0.76,5.4,194,4.9,956,2,1
Devin Singletary,397.7,24,17,16,188,870,7,44,46,4.6,51.2,11.1,50,40,228,5.7,1,11,19,2.4,13.4,0.8,4.6,228,4.8,1098,8,5
Raheem Mostert,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
